Species,Acridinae,Batrachideinae,Catantopinae,Cladonotinae,Coptacrinae,Cyrtacanthacridinae,Eyprepocnemidinae,Gomphocerinae,Hemiacridinae,Lentulinae,Oedipodinae,Oxyinae,Porthetinae,Pyrgomorphinae,Spathosterninae,Tetriginae,Thericleinae,Tropidopolinae
"Vitticatantops humeralis (Thunberg, 1815)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eyprepocnemis calceata (Serville, 1838)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Thericles miserabilis (Descamps, 1977)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Pnorisa squalus (Stål, 1861)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gymnobothrus carinatus (Uvarov, 1941)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoarcyptera cephalica (Bolívar, 1914)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Crucinotacris cruciata (Bolívar, 1912)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Oxya hyla (Serville, 1831)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gastrimargus drakensbergensis (Ritchie, 1982)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Eucoptacra turneri (Miller, 1932)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phloeonotus humilis (Gerstaecker, 1869)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Machaeridia conspersa (I. Bolívar, 1889)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duronia chloronota curta (Uvarov, 1953)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesopsis abbreviata (Palisot de Beauvois, 1806)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spp.30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rhaphotittha levis (Karsch, 1896)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pnorisa angulata (Karny, 1910)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Oxya glabra (Ramme, 1929)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Anthermus granosus (Stål, 1878)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acrida bicolor (Thunberg, 1815)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betiscoides parva (Key, 1937)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tettiella odiosa (Walker, 1871)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Spathosternum nigrotaeniatum (Stål, 1876)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Zonocerus elegans elegans (Thunberg, 1815) ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Dasyleurotettix infaustus (Walker, 1871)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Diablepia viridis (Kirby, 1902)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Acrida propinqua (Burr, 1902)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ornithacris cyanea cyanea (Stoll, 1813)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lentula obtusifrons (Stål, 1878)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Faureia milanjica (Karsch, 1896)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cyrtacanthacris aeruginosa aeruginosa (Stoll, 1813)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Anablepia pilosa (Uvarov, 1953)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Paratettix scaber (Thunberg, 1815)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Scintharista rosacea (Kirby, 1902) ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Scintharista saucia (Stål, 1873)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Paracinema tricolor tricolor (Thunberg, 1815)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dirshia abbreviata (Brown, 1962)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Heteracris drakensbergensis (Grunshaw, 1991)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Duronia chloronota chloronota (Stål, 1876)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhabdoplea munda (Karsch, 1893)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
